"p0","p1","p2","p3","p4","p5","p6","p7","p8","p9","p10","p11","p12","p13","p14","Re","Mach","AoA_deg","C_d","C_l","C_m"
"(1.000032,-0.003366)","(0.950514,-0.003365)","(0.811886,-0.014871)","(0.611805,-0.057018)","(0.389695,-0.099801)","(0.189201,-0.098812)","(0.050079,-0.058643)","(0.000000,0.000000)","(0.048862,0.068528)","(0.187170,0.113532)","(0.387705,0.108148)","(0.610604,0.068555)","(0.811446,0.031153)","(0.950381,0.010615)","(0.999968,0.003366)","9.000000e+06","1.000000e-01","1.200000e+01","1.297350e-02","1.623183e+00","-5.175188e-02"
"(1.000002,-0.003512)","(0.950485,-0.004308)","(0.811751,-0.011629)","(0.611284,-0.038128)","(0.388783,-0.069220)","(0.188304,-0.078349)","(0.049553,-0.056398)","(0.000000,0.000000)","(0.049468,0.080672)","(0.188174,0.132759)","(0.388661,0.127094)","(0.611208,0.084796)","(0.811719,0.041248)","(0.950474,0.013434)","(0.999998,0.003512)","9.000000e+06","1.000000e-01","1.200000e+01","1.323369e-02","1.794848e+00","-7.502169e-02"
"(1.000031,-0.002152)","(0.950440,0.002880)","(0.811757,-0.000919)","(0.611594,-0.023004)","(0.389399,-0.045367)","(0.189085,-0.057108)","(0.050161,-0.044339)","(-0.000000,0.000000)","(0.048579,0.064696)","(0.186512,0.120088)","(0.386604,0.147106)","(0.609317,0.133823)","(0.810585,0.079820)","(0.950150,0.022918)","(0.999969,0.002152)","9.000000e+06","1.000000e-01","1.200000e+01","2.629385e-02","1.843825e+00","-1.676010e-01"
"(1.000007,-0.001764)","(0.950500,-0.004622)","(0.811827,-0.022206)","(0.611436,-0.046881)","(0.388960,-0.058654)","(0.188476,-0.058770)","(0.049682,-0.043825)","(0.000000,0.000000)","(0.049270,0.066195)","(0.187811,0.118759)","(0.388223,0.137850)","(0.610819,0.117528)","(0.811499,0.065342)","(0.950417,0.017522)","(0.999993,0.001764)","9.000000e+06","1.000000e-01","1.200000e+01","1.852453e-02","1.660938e+00","-9.451946e-02"
"(1.000043,-0.002484)","(0.950332,0.008661)","(0.811416,0.018934)","(0.611347,-0.005012)","(0.389544,-0.046449)","(0.189392,-0.065613)","(0.050345,-0.047761)","(0.000000,0.000000)","(0.048313,0.069564)","(0.186003,0.130075)","(0.386132,0.150589)","(0.609101,0.124684)","(0.810514,0.071051)","(0.950109,0.021531)","(0.999957,0.002484)","9.000000e+06","1.000000e-01","1.200000e+01","2.179460e-02","2.118268e+00","-2.062368e-01"
"(1.000047,-0.002856)","(0.950521,-0.002340)","(0.812042,-0.018026)","(0.612379,-0.067749)","(0.390587,-0.111827)","(0.189974,-0.104000)","(0.050450,-0.056438)","(0.000000,0.000000)","(0.048565,0.057674)","(0.186619,0.099094)","(0.387054,0.102053)","(0.610077,0.071614)","(0.811168,0.034856)","(0.950300,0.011053)","(0.999953,0.002856)","9.000000e+06","1.000000e-01","1.200000e+01","1.395844e-02","1.559542e+00","-5.915341e-02"
"(1.000153,-0.004981)","(0.950408,0.002401)","(0.811777,-0.001052)","(0.612920,-0.053983)","(0.392328,-0.116683)","(0.192022,-0.122477)","(0.051614,-0.068176)","(0.000000,-0.000000)","(0.047703,0.059002)","(0.185383,0.093409)","(0.385994,0.089315)","(0.609303,0.063657)","(0.810610,0.036881)","(0.950009,0.015390)","(0.999847,0.004981)","9.000000e+06","1.000000e-01","1.200000e+01","1.500654e-02","1.711241e+00","-1.007026e-01"
"(1.000018,-0.000865)","(0.950304,0.008544)","(0.811558,0.008940)","(0.611807,-0.026251)","(0.390107,-0.065595)","(0.189690,-0.068786)","(0.050363,-0.040570)","(0.000000,0.000000)","(0.048385,0.054332)","(0.185894,0.113304)","(0.385696,0.146036)","(0.608611,0.127076)","(0.810270,0.070703)","(0.950085,0.019040)","(0.999982,0.000865)","9.000000e+06","1.000000e-01","1.200000e+01","2.708970e-02","1.849044e+00","-1.816530e-01"
"(1.000015,-0.001826)","(0.950425,0.006996)","(0.811605,0.017057)","(0.611171,0.010993)","(0.388815,-0.009197)","(0.188534,-0.034243)","(0.049832,-0.038619)","(0.000000,0.000000)","(0.048914,0.074265)","(0.187116,0.140165)","(0.387371,0.168358)","(0.610057,0.147936)","(0.811040,0.086674)","(0.950281,0.024730)","(0.999985,0.001826)","9.000000e+06","1.000000e-01","1.200000e+01","2.894308e-02","2.078580e+00","-2.152278e-01"
"(0.999997,-0.000334)","(0.950409,-0.009222)","(0.811451,-0.036740)","(0.610800,-0.057531)","(0.388314,-0.053340)","(0.187907,-0.043596)","(0.049238,-0.034986)","(0.000000,0.000000)","(0.050038,0.065084)","(0.189220,0.120658)","(0.389878,0.142436)","(0.612208,0.118674)","(0.812234,0.061279)","(0.950592,0.013772)","(1.000003,0.000334)","9.000000e+06","1.000000e-01","1.200000e+01","1.821972e-02","1.452751e+00","-4.089670e-02"
"(1.000079,-0.002633)","(0.950229,0.008445)","(0.811439,0.010183)","(0.612376,-0.037234)","(0.391570,-0.094445)","(0.191212,-0.098667)","(0.051125,-0.053634)","(0.000000,0.000000)","(0.047910,0.053671)","(0.185190,0.102327)","(0.385115,0.120977)","(0.608280,0.099442)","(0.810064,0.056080)","(0.949952,0.017698)","(0.999921,0.002633)","9.000000e+06","1.000000e-01","1.200000e+01","1.832234e-02","1.910869e+00","-1.700478e-01"
"(1.000008,-0.001374)","(0.950441,0.006962)","(0.811654,0.015236)","(0.611343,-0.014023)","(0.389104,-0.061243)","(0.188674,-0.070358)","(0.049785,-0.045055)","(0.000000,-0.000000)","(0.049085,0.072772)","(0.187431,0.138779)","(0.387856,0.148788)","(0.610663,0.100532)","(0.811475,0.045226)","(0.950408,0.012449)","(0.999992,0.001374)","9.000000e+06","1.000000e-01","1.200000e+01","1.603496e-02","2.051122e+00","-1.532849e-01"
"(1.000008,-0.002283)","(0.950521,-0.010848)","(0.811894,-0.041617)","(0.611516,-0.070821)","(0.389006,-0.073658)","(0.188495,-0.066138)","(0.049687,-0.046984)","(0.000000,0.000000)","(0.049294,0.061898)","(0.187880,0.104247)","(0.388308,0.119580)","(0.610875,0.106657)","(0.811522,0.061466)","(0.950422,0.016680)","(0.999992,0.002283)","9.000000e+06","1.000000e-01","1.200000e+01","1.614928e-02","1.406834e+00","-3.286575e-02"
"(0.999978,-0.001913)","(0.950341,-0.012443)","(0.811303,-0.038935)","(0.610658,-0.053100)","(0.388218,-0.046069)","(0.187743,-0.045256)","(0.049032,-0.042809)","(0.000000,0.000000)","(0.050381,0.076112)","(0.189712,0.128389)","(0.390308,0.138280)","(0.612530,0.112006)","(0.812422,0.059809)","(0.950657,0.015381)","(1.000022,0.001913)","9.000000e+06","1.000000e-01","1.200000e+01","1.506833e-02","1.519647e+00","-2.977276e-02"
"(1.000034,-0.002085)","(0.950361,0.007419)","(0.811523,0.013553)","(0.611397,-0.008402)","(0.389424,-0.041821)","(0.189214,-0.058610)","(0.050245,-0.044453)","(0.000000,0.000000)","(0.048423,0.066975)","(0.186175,0.127237)","(0.386235,0.153202)","(0.609085,0.132995)","(0.810481,0.077257)","(0.950114,0.022542)","(0.999966,0.002085)","9.000000e+06","1.000000e-01","1.200000e+01","2.598048e-02","2.007672e+00","-1.988712e-01"
"(1.000055,-0.003246)","(0.950503,-0.001194)","(0.811957,-0.012533)","(0.612064,-0.047264)","(0.390067,-0.078067)","(0.189666,-0.082923)","(0.050441,-0.054279)","(-0.000000,0.000000)","(0.048437,0.063535)","(0.186401,0.109055)","(0.386657,0.122475)","(0.609475,0.104948)","(0.810693,0.061788)","(0.950156,0.019168)","(0.999945,0.003246)","9.000000e+06","1.000000e-01","1.200000e+01","1.718908e-02","1.763515e+00","-1.203975e-01"
"(1.000085,-0.004568)","(0.950444,0.002073)","(0.811674,0.003781)","(0.611970,-0.038126)","(0.390529,-0.096068)","(0.190253,-0.107283)","(0.050728,-0.064981)","(0.000000,0.000000)","(0.048189,0.071343)","(0.186101,0.115750)","(0.386746,0.107066)","(0.609999,0.067720)","(0.811109,0.034126)","(0.950225,0.013833)","(0.999915,0.004568)","9.000000e+06","1.000000e-01","1.200000e+01","1.430221e-02","1.813954e+00","-9.786619e-02"
"(1.000059,-0.002327)","(0.950361,0.004768)","(0.811774,-0.001173)","(0.612406,-0.044968)","(0.391012,-0.089137)","(0.190548,-0.089926)","(0.050813,-0.050796)","(0.000000,-0.000000)","(0.048154,0.053479)","(0.185673,0.101324)","(0.385600,0.123192)","(0.608544,0.106532)","(0.810183,0.061231)","(0.950016,0.018281)","(0.999941,0.002327)","9.000000e+06","1.000000e-01","1.200000e+01","1.921596e-02","1.810126e+00","-1.521330e-01"
"(1.000072,-0.003560)","(0.950603,-0.005982)","(0.812351,-0.029977)","(0.612909,-0.081431)","(0.391129,-0.117993)","(0.190442,-0.107969)","(0.050722,-0.059456)","(0.000000,0.000000)","(0.048437,0.053366)","(0.186518,0.085829)","(0.386930,0.089408)","(0.609821,0.071062)","(0.810936,0.039887)","(0.950214,0.013228)","(0.999928,0.003560)","9.000000e+06","1.000000e-01","1.200000e+01","1.343271e-02","1.442291e+00","-4.151413e-02"
"(0.999977,-0.002169)","(0.950354,-0.012157)","(0.811350,-0.037368)","(0.610715,-0.051674)","(0.388248,-0.046628)","(0.187756,-0.047392)","(0.049050,-0.044394)","(-0.000000,-0.000000)","(0.050332,0.077230)","(0.189618,0.129127)","(0.390189,0.137437)","(0.612426,0.110588)","(0.812370,0.059331)","(0.950647,0.015657)","(1.000023,0.002169)","9.000000e+06","1.000000e-01","1.200000e+01","1.483450e-02","1.548042e+00","-3.408665e-02"
"(1.000002,-0.000701)","(0.950502,-0.008296)","(0.811838,-0.038682)","(0.611425,-0.068181)","(0.388907,-0.068988)","(0.188391,-0.055969)","(0.049609,-0.037859)","(-0.000000,0.000000)","(0.049383,0.055715)","(0.188004,0.104075)","(0.388425,0.130146)","(0.610976,0.117377)","(0.811587,0.064857)","(0.950445,0.015503)","(0.999998,0.000701)","9.000000e+06","1.000000e-01","1.200000e+01","1.983003e-02","1.373417e+00","-4.428436e-02"
"(1.000010,-0.002753)","(0.950483,-0.000305)","(0.811754,-0.002744)","(0.611352,-0.025579)","(0.388940,-0.055313)","(0.188499,-0.067179)","(0.049701,-0.050598)","(0.000000,0.000000)","(0.049238,0.077480)","(0.187769,0.134881)","(0.388230,0.141149)","(0.610881,0.104801)","(0.811547,0.054653)","(0.950423,0.016409)","(0.999990,0.002753)","9.000000e+06","1.000000e-01","1.200000e+01","1.517964e-02","1.945664e+00","-1.271030e-01"
"(1.000027,-0.001583)","(0.950543,-0.003557)","(0.812219,-0.027950)","(0.612456,-0.070323)","(0.390300,-0.091760)","(0.189616,-0.080025)","(0.050291,-0.045495)","(-0.000000,0.000000)","(0.048685,0.048970)","(0.186697,0.091696)","(0.386760,0.116474)","(0.609440,0.107072)","(0.810698,0.061556)","(0.950203,0.016455)","(0.999973,0.001583)","9.000000e+06","1.000000e-01","1.200000e+01","1.901636e-02","1.476065e+00","-7.983071e-02"
"(0.999990,-0.003610)","(0.950454,-0.010495)","(0.811662,-0.030735)","(0.611109,-0.056141)","(0.388548,-0.071583)","(0.188055,-0.074689)","(0.049368,-0.055983)","(0.000000,0.000000)","(0.049728,0.078489)","(0.188590,0.124451)","(0.389061,0.119809)","(0.611492,0.086286)","(0.811864,0.044818)","(0.950520,0.013977)","(1.000010,0.003610)","9.000000e+06","1.000000e-01","1.200000e+01","1.221142e-02","1.603899e+00","-3.362727e-02"
"(1.000038,-0.002200)","(0.950445,0.002186)","(0.811840,-0.005540)","(0.612146,-0.051451)","(0.390438,-0.098622)","(0.189894,-0.095142)","(0.050415,-0.052136)","(-0.000000,0.000000)","(0.048508,0.058667)","(0.186399,0.107846)","(0.386708,0.118025)","(0.609776,0.086157)","(0.811011,0.042565)","(0.950265,0.012606)","(0.999962,0.002200)","9.000000e+06","1.000000e-01","1.200000e+01","1.581854e-02","1.735151e+00","-1.053915e-01"
"(1.000045,-0.002999)","(0.950419,0.004232)","(0.811636,0.007269)","(0.611448,-0.012637)","(0.389367,-0.042078)","(0.189169,-0.061315)","(0.050251,-0.049208)","(-0.000000,0.000000)","(0.048455,0.071321)","(0.186357,0.127464)","(0.386547,0.147213)","(0.609349,0.128271)","(0.810603,0.076581)","(0.950134,0.023402)","(0.999955,0.002999)","9.000000e+06","1.000000e-01","1.200000e+01","2.257199e-02","2.007369e+00","-1.848167e-01"
"(1.000018,-0.003091)","(0.950520,-0.006386)","(0.811889,-0.024253)","(0.611584,-0.054298)","(0.389184,-0.074576)","(0.188710,-0.076243)","(0.049835,-0.053203)","(-0.000000,0.000000)","(0.049102,0.069762)","(0.187564,0.116123)","(0.388009,0.122644)","(0.610677,0.097840)","(0.811422,0.054101)","(0.950386,0.016227)","(0.999982,0.003091)","9.000000e+06","1.000000e-01","1.200000e+01","1.436576e-02","1.666532e+00","-7.406449e-02"
"(1.000007,-0.001438)","(0.950530,-0.009514)","(0.811953,-0.041792)","(0.611703,-0.088787)","(0.389290,-0.110290)","(0.188699,-0.088875)","(0.049755,-0.047562)","(0.000000,0.000000)","(0.049249,0.053917)","(0.187782,0.095029)","(0.388226,0.102959)","(0.610885,0.075168)","(0.811574,0.034081)","(0.950442,0.007984)","(0.999993,0.001438)","9.000000e+06","1.000000e-01","1.200000e+01","1.287778e-02","1.298657e+00","4.128801e-03"
"(1.000050,-0.004419)","(0.950543,-0.005345)","(0.811950,-0.018196)","(0.611789,-0.046900)","(0.389559,-0.072520)","(0.189191,-0.082839)","(0.050195,-0.060031)","(0.000000,0.000000)","(0.048689,0.073387)","(0.186945,0.116105)","(0.387407,0.118049)","(0.610171,0.096511)","(0.811093,0.057641)","(0.950264,0.019333)","(0.999950,0.004419)","9.000000e+06","1.000000e-01","1.200000e+01","1.481740e-02","1.757983e+00","-9.503212e-02"
"(1.000038,-0.003386)","(0.950456,0.002319)","(0.811697,0.004129)","(0.611549,-0.025440)","(0.389508,-0.067644)","(0.189178,-0.081223)","(0.050149,-0.055579)","(-0.000000,0.000000)","(0.048669,0.074797)","(0.186793,0.128845)","(0.387237,0.132439)","(0.610164,0.096525)","(0.811164,0.051091)","(0.950293,0.016680)","(0.999962,0.003386)","9.000000e+06","1.000000e-01","1.200000e+01","1.525954e-02","1.975558e+00","-1.377980e-01"
"(1.000009,-0.001981)","(0.950515,-0.007203)","(0.811885,-0.031114)","(0.611570,-0.068393)","(0.389142,-0.088798)","(0.188615,-0.079227)","(0.049738,-0.048728)","(0.000000,0.000000)","(0.049235,0.062414)","(0.187763,0.108718)","(0.388205,0.118031)","(0.610849,0.090816)","(0.811536,0.045926)","(0.950427,0.012233)","(0.999991,0.001981)","9.000000e+06","1.000000e-01","1.200000e+01","1.390359e-02","1.519849e+00","-4.402336e-02"
"(1.000002,-0.000444)","(0.950473,0.001772)","(0.811778,-0.006110)","(0.611388,-0.023358)","(0.388926,-0.034131)","(0.188469,-0.039072)","(0.049701,-0.033571)","(0.000000,0.000000)","(0.049175,0.062708)","(0.187575,0.124635)","(0.387873,0.158788)","(0.610482,0.142357)","(0.811306,0.080258)","(0.950371,0.020345)","(0.999998,0.000444)","9.000000e+06","1.000000e-01","1.200000e+01","2.966991e-02","1.725947e+00","-1.492656e-01"
"(1.000005,-0.000394)","(0.950484,-0.000148)","(0.811976,-0.018550)","(0.612152,-0.071278)","(0.390143,-0.112118)","(0.189411,-0.092342)","(0.050061,-0.043443)","(-0.000000,0.000000)","(0.048908,0.048726)","(0.187022,0.098599)","(0.387303,0.114853)","(0.610242,0.081384)","(0.811314,0.034342)","(0.950390,0.007408)","(0.999995,0.000394)","9.000000e+06","1.000000e-01","1.200000e+01","1.554658e-02","1.507934e+00","-6.210972e-02"
"(0.999992,-0.000485)","(0.950265,-0.013914)","(0.811005,-0.047355)","(0.610293,-0.061973)","(0.388028,-0.045644)","(0.187704,-0.035396)","(0.048982,-0.034345)","(0.000000,0.000000)","(0.050603,0.069572)","(0.190186,0.123720)","(0.390945,0.141332)","(0.613084,0.116923)","(0.812682,0.060100)","(0.950688,0.013198)","(1.000008,0.000485)","9.000000e+06","1.000000e-01","1.200000e+01","1.635557e-02","1.356717e+00","-2.725002e-03"
"(1.000042,-0.001676)","(0.950377,0.004192)","(0.811889,-0.005791)","(0.612779,-0.060691)","(0.391568,-0.112988)","(0.190829,-0.102784)","(0.050774,-0.050201)","(0.000000,0.000000)","(0.048334,0.047290)","(0.185927,0.093050)","(0.385977,0.110386)","(0.609118,0.085554)","(0.810661,0.043282)","(0.950174,0.012311)","(0.999958,0.001676)","9.000000e+06","1.000000e-01","1.200000e+01","1.604879e-02","1.674480e+00","-1.123104e-01"
"(1.000022,-0.001261)","(0.950417,0.003713)","(0.811820,-0.004356)","(0.612030,-0.044010)","(0.390153,-0.080739)","(0.189619,-0.077871)","(0.050296,-0.044429)","(0.000000,0.000000)","(0.048553,0.055127)","(0.186351,0.108804)","(0.386405,0.133379)","(0.609309,0.111459)","(0.810692,0.060086)","(0.950199,0.016198)","(0.999978,0.001261)","9.000000e+06","1.000000e-01","1.200000e+01","2.030856e-02","1.764793e+00","-1.390811e-01"
"(1.000070,-0.003183)","(0.950435,0.002121)","(0.811845,-0.004575)","(0.612285,-0.046334)","(0.390728,-0.089875)","(0.190327,-0.093632)","(0.050751,-0.055755)","(-0.000000,0.000000)","(0.048190,0.060036)","(0.185920,0.105610)","(0.386130,0.118007)","(0.609119,0.096775)","(0.810521,0.055317)","(0.950092,0.017637)","(0.999930,0.003183)","9.000000e+06","1.000000e-01","1.200000e+01","1.687153e-02","1.809225e+00","-1.321266e-01"
"(1.000067,-0.002814)","(0.950558,-0.003195)","(0.812357,-0.025727)","(0.613277,-0.084613)","(0.391832,-0.129720)","(0.190976,-0.114107)","(0.050872,-0.056811)","(0.000000,0.000000)","(0.048416,0.046219)","(0.186363,0.079391)","(0.386690,0.085991)","(0.609702,0.065375)","(0.810937,0.033845)","(0.950226,0.010760)","(0.999933,0.002814)","9.000000e+06","1.000000e-01","1.200000e+01","1.366064e-02","1.415738e+00","-4.422139e-02"
"(1.000011,-0.000930)","(0.950468,0.001209)","(0.811872,-0.010918)","(0.611860,-0.051126)","(0.389736,-0.084883)","(0.189164,-0.077455)","(0.050027,-0.043394)","(0.000000,0.000000)","(0.048852,0.056727)","(0.186953,0.111041)","(0.387196,0.131607)","(0.610045,0.103582)","(0.811134,0.051982)","(0.950328,0.013173)","(0.999989,0.000930)","9.000000e+06","1.000000e-01","1.200000e+01","1.820026e-02","1.696638e+00","-1.094888e-01"
"(1.000052,-0.003127)","(0.950456,0.001549)","(0.811801,-0.003389)","(0.612051,-0.047124)","(0.390367,-0.096957)","(0.189917,-0.099013)","(0.050477,-0.057144)","(-0.000000,0.000000)","(0.048438,0.064357)","(0.186380,0.111803)","(0.386820,0.114386)","(0.609926,0.079489)","(0.811081,0.039518)","(0.950263,0.013084)","(0.999948,0.003127)","9.000000e+06","1.000000e-01","1.200000e+01","1.470229e-02","1.768052e+00","-1.007052e-01"
"(1.000001,-0.001185)","(0.950484,-0.003430)","(0.811755,-0.018903)","(0.611294,-0.059134)","(0.388793,-0.093101)","(0.188303,-0.082475)","(0.049544,-0.046586)","(0.000000,0.000000)","(0.049480,0.065379)","(0.188188,0.119681)","(0.388669,0.123826)","(0.611215,0.078697)","(0.811727,0.030593)","(0.950478,0.007102)","(0.999999,0.001185)","9.000000e+06","1.000000e-01","1.200000e+01","1.352829e-02","1.590039e+00","-4.553977e-02"
"(0.999987,-0.001653)","(0.950408,-0.009330)","(0.811493,-0.031417)","(0.610878,-0.047805)","(0.388363,-0.047249)","(0.187879,-0.047193)","(0.049183,-0.041943)","(-0.000000,0.000000)","(0.050110,0.074089)","(0.189284,0.128725)","(0.389872,0.141758)","(0.612177,0.114820)","(0.812231,0.060966)","(0.950607,0.015618)","(1.000013,0.001653)","9.000000e+06","1.000000e-01","1.200000e+01","1.570478e-02","1.605305e+00","-5.682532e-02"
"(1.000037,-0.003157)","(0.950421,0.005206)","(0.811585,0.013590)","(0.611281,-0.001774)","(0.389130,-0.033261)","(0.188930,-0.057550)","(0.050098,-0.049531)","(0.000000,0.000000)","(0.048615,0.077039)","(0.186655,0.136539)","(0.386956,0.152227)","(0.609773,0.126830)","(0.810875,0.074132)","(0.950212,0.023031)","(0.999963,0.003157)","9.000000e+06","1.000000e-01","1.200000e+01","2.061409e-02","2.127012e+00","-1.959519e-01"
"(1.000074,-0.003092)","(0.950304,0.007474)","(0.811435,0.012950)","(0.611708,-0.018748)","(0.390253,-0.063370)","(0.190143,-0.079052)","(0.050771,-0.052505)","(0.000000,0.000000)","(0.047982,0.064320)","(0.185450,0.117535)","(0.385463,0.137236)","(0.608440,0.118094)","(0.810068,0.070188)","(0.949954,0.022135)","(0.999926,0.003092)","9.000000e+06","1.000000e-01","1.200000e+01","2.163080e-02","2.012114e+00","-1.915854e-01"
"(1.000037,-0.003723)","(0.950590,-0.010787)","(0.812139,-0.039478)","(0.612094,-0.083344)","(0.389823,-0.108271)","(0.189246,-0.098953)","(0.050112,-0.059382)","(-0.000000,0.000000)","(0.048901,0.061692)","(0.187303,0.095287)","(0.387814,0.092605)","(0.610567,0.069242)","(0.811372,0.037175)","(0.950361,0.012171)","(0.999963,0.003723)","9.000000e+06","1.000000e-01","1.200000e+01","1.217539e-02","1.373427e+00","-5.126099e-03"
"(1.000015,-0.002112)","(0.950510,-0.003814)","(0.811888,-0.019911)","(0.611561,-0.041553)","(0.389108,-0.050856)","(0.188656,-0.055237)","(0.049837,-0.044161)","(0.000000,0.000000)","(0.049044,0.065431)","(0.187412,0.116575)","(0.387730,0.139453)","(0.610343,0.126648)","(0.811203,0.074692)","(0.950332,0.020756)","(0.999985,0.002112)","9.000000e+06","1.000000e-01","1.200000e+01","2.235482e-02","1.653712e+00","-1.096352e-01"
"(0.999998,-0.000649)","(0.950472,-0.002936)","(0.811689,-0.015478)","(0.611180,-0.022461)","(0.388676,-0.017995)","(0.188166,-0.025283)","(0.049404,-0.032113)","(0.000000,0.000000)","(0.049764,0.069326)","(0.188721,0.130995)","(0.389314,0.161616)","(0.611776,0.145276)","(0.812037,0.082570)","(0.950556,0.020817)","(1.000002,0.000649)","9.000000e+06","1.000000e-01","1.200000e+01","2.693136e-02","1.684313e+00","-1.230894e-01"
"(1.000000,-0.002389)","(0.950483,-0.003710)","(0.811746,-0.014055)","(0.611265,-0.036851)","(0.388748,-0.057402)","(0.188264,-0.063559)","(0.049524,-0.048378)","(0.000000,0.000000)","(0.049508,0.075531)","(0.188238,0.131194)","(0.388722,0.139109)","(0.611246,0.105603)","(0.811737,0.054924)","(0.950480,0.015596)","(1.000000,0.002389)","9.000000e+06","1.000000e-01","1.200000e+01","1.479977e-02","1.813510e+00","-9.907241e-02"
"(0.999997,-0.000524)","(0.950508,0.004740)","(0.811807,0.011471)","(0.611227,-0.005977)","(0.388529,-0.038325)","(0.187989,-0.048414)","(0.049309,-0.037768)","(0.000000,0.000000)","(0.049952,0.078729)","(0.189092,0.151476)","(0.389644,0.163888)","(0.611877,0.111886)","(0.812016,0.049360)","(0.950549,0.012038)","(1.000003,0.000524)","9.000000e+06","1.000000e-01","1.200000e+01","1.600545e-02","2.079788e+00","-1.512736e-01"
"(0.999986,-0.002470)","(0.950453,-0.005205)","(0.811661,-0.014922)","(0.611105,-0.027769)","(0.388525,-0.038485)","(0.187978,-0.049772)","(0.049259,-0.046335)","(0.000000,0.000000)","(0.049973,0.081471)","(0.189036,0.139625)","(0.389564,0.147453)","(0.611898,0.114285)","(0.812085,0.060953)","(0.950578,0.017220)","(1.000014,0.002470)","9.000000e+06","1.000000e-01","1.200000e+01","1.548191e-02","1.840625e+00","-1.006405e-01"
"(1.000012,-0.002343)","(0.950553,-0.013980)","(0.812015,-0.053320)","(0.611743,-0.095054)","(0.389264,-0.103236)","(0.188684,-0.084323)","(0.049773,-0.050202)","(0.000000,0.000000)","(0.049239,0.054958)","(0.187803,0.089226)","(0.388246,0.097189)","(0.610847,0.081320)","(0.811521,0.043908)","(0.950423,0.011670)","(0.999988,0.002343)","9.000000e+06","1.000000e-01","1.200000e+01","1.250830e-02","1.213762e+00","2.199305e-02"
"(1.000020,-0.001041)","(0.950354,0.006592)","(0.811665,0.004048)","(0.611739,-0.024631)","(0.389770,-0.053002)","(0.189398,-0.058771)","(0.050279,-0.039165)","(0.000000,0.000000)","(0.048443,0.055327)","(0.186061,0.112971)","(0.385842,0.149161)","(0.608580,0.137919)","(0.810177,0.080657)","(0.950057,0.021892)","(0.999980,0.001041)","9.000000e+06","1.000000e-01","1.200000e+01","3.130322e-02","1.783650e+00","-1.795224e-01"
"(1.000001,-0.000602)","(0.950480,0.001194)","(0.811754,-0.005771)","(0.611320,-0.036224)","(0.388850,-0.066389)","(0.188362,-0.064139)","(0.049585,-0.040504)","(0.000000,-0.000000)","(0.049407,0.066982)","(0.188042,0.129530)","(0.388499,0.145853)","(0.611085,0.106129)","(0.811663,0.049181)","(0.950463,0.011805)","(0.999999,0.000602)","9.000000e+06","1.000000e-01","1.200000e+01","1.707118e-02","1.811969e+00","-1.135341e-01"
"(0.999985,-0.002256)","(0.950415,-0.010411)","(0.811524,-0.033924)","(0.610869,-0.060344)","(0.388276,-0.071572)","(0.187820,-0.067292)","(0.049202,-0.048750)","(0.000000,0.000000)","(0.049999,0.074217)","(0.189062,0.124429)","(0.389558,0.126241)","(0.611848,0.090800)","(0.812028,0.043816)","(0.950558,0.011656)","(1.000015,0.002256)","9.000000e+06","1.000000e-01","1.200000e+01","1.234996e-02","1.548336e+00","-2.498747e-02"
"(1.000053,-0.003971)","(0.950553,-0.005313)","(0.812031,-0.021493)","(0.612112,-0.063836)","(0.390092,-0.101256)","(0.189600,-0.100636)","(0.050334,-0.061140)","(0.000000,0.000000)","(0.048635,0.066100)","(0.186849,0.105374)","(0.387378,0.102011)","(0.610288,0.072779)","(0.811229,0.038556)","(0.950303,0.013427)","(0.999947,0.003971)","9.000000e+06","1.000000e-01","1.200000e+01","1.313336e-02","1.589885e+00","-5.327339e-02"
"(1.000060,-0.003028)","(0.950259,0.011206)","(0.811178,0.028471)","(0.611343,-0.004169)","(0.390040,-0.065410)","(0.189946,-0.085010)","(0.050591,-0.054004)","(0.000000,0.000000)","(0.048099,0.071371)","(0.185651,0.131032)","(0.385973,0.139171)","(0.609285,0.099362)","(0.810719,0.051585)","(0.950140,0.017216)","(0.999940,0.003028)","9.000000e+06","1.000000e-01","1.200000e+01","1.742221e-02","2.170316e+00","-1.914842e-01"
"(1.000005,-0.000337)","(0.950494,-0.000752)","(0.812079,-0.022313)","(0.612258,-0.066542)","(0.390117,-0.091817)","(0.189394,-0.075911)","(0.050109,-0.039458)","(0.000000,0.000000)","(0.048825,0.046226)","(0.186825,0.095459)","(0.386866,0.124979)","(0.609622,0.109250)","(0.810874,0.058072)","(0.950274,0.013867)","(0.999995,0.000337)","9.000000e+06","1.000000e-01","1.200000e+01","2.040172e-02","1.501188e+00","-9.028239e-02"
"(1.000017,-0.002299)","(0.950498,-0.002140)","(0.811846,-0.013881)","(0.611676,-0.056498)","(0.389462,-0.098091)","(0.188939,-0.092851)","(0.049908,-0.052997)","(-0.000000,0.000000)","(0.049034,0.065773)","(0.187406,0.115458)","(0.387888,0.115780)","(0.610715,0.074002)","(0.811513,0.031439)","(0.950415,0.009186)","(0.999983,0.002299)","9.000000e+06","1.000000e-01","1.200000e+01","1.351522e-02","1.631618e+00","-5.771170e-02"
