"p0","p1","p2","p3","p4","p5","p6","p7","p8","p9","p10","p11","p12","p13","p14","Re","Mach","AoA_deg","C_d","C_l","C_m"
"(1.000060,-0.004706)","(0.950550,-0.005272)","(0.811971,-0.017734)","(0.611951,-0.053976)","(0.389890,-0.089787)","(0.189497,-0.096954)","(0.050336,-0.063925)","(0.000000,0.000000)","(0.048592,0.072285)","(0.186820,0.112111)","(0.387380,0.106222)","(0.610265,0.077715)","(0.811183,0.043843)","(0.950278,0.015973)","(0.999940,0.004706)","9.000000e+06","1.000000e-01","1.200000e+01","1.357174e-02","1.686739e+00","-6.990020e-02"
"(1.000050,-0.003853)","(0.950448,0.002600)","(0.811661,0.006327)","(0.611440,-0.013747)","(0.389350,-0.046578)","(0.189154,-0.068528)","(0.050236,-0.054798)","(-0.000000,-0.000000)","(0.048508,0.077027)","(0.186539,0.131021)","(0.386893,0.140940)","(0.609737,0.116203)","(0.810843,0.068800)","(0.950190,0.022340)","(0.999950,0.003853)","9.000000e+06","1.000000e-01","1.200000e+01","1.798942e-02","2.057805e+00","-1.718954e-01"
"(1.000007,-0.000814)","(0.950519,-0.004502)","(0.811983,-0.029143)","(0.611882,-0.075949)","(0.389592,-0.104014)","(0.188954,-0.085246)","(0.049880,-0.044179)","(0.000000,0.000000)","(0.049089,0.052400)","(0.187439,0.099726)","(0.387800,0.114823)","(0.610554,0.086200)","(0.811418,0.039769)","(0.950408,0.009091)","(0.999993,0.000814)","9.000000e+06","1.000000e-01","1.200000e+01","1.499038e-02","1.445931e+00","-4.204808e-02"
"(0.999992,-0.001227)","(0.950477,-0.000740)","(0.811717,-0.004128)","(0.611129,-0.020005)","(0.388479,-0.039932)","(0.187940,-0.048256)","(0.049251,-0.040819)","(-0.000000,0.000000)","(0.050035,0.079107)","(0.189204,0.145008)","(0.389762,0.156351)","(0.612003,0.113688)","(0.812102,0.054783)","(0.950574,0.014058)","(1.000008,0.001227)","9.000000e+06","1.000000e-01","1.200000e+01","1.537817e-02","1.938923e+00","-1.222825e-01"
"(0.999982,-0.001844)","(0.950338,-0.014999)","(0.811266,-0.049611)","(0.610521,-0.076775)","(0.388010,-0.075818)","(0.187644,-0.063483)","(0.049076,-0.045831)","(0.000000,0.000000)","(0.050188,0.069562)","(0.189368,0.115464)","(0.389893,0.119679)","(0.612129,0.090183)","(0.812168,0.044042)","(0.950585,0.010687)","(1.000018,0.001844)","9.000000e+06","1.000000e-01","1.200000e+01","1.185589e-02","1.342669e+00","1.938538e-02"
"(1.000033,-0.003686)","(0.950456,0.002972)","(0.811660,0.009442)","(0.611421,-0.018028)","(0.389316,-0.064623)","(0.188987,-0.082056)","(0.050029,-0.057343)","(0.000000,0.000000)","(0.048806,0.079854)","(0.187046,0.135671)","(0.387555,0.132956)","(0.610462,0.089538)","(0.811343,0.045006)","(0.950344,0.015496)","(0.999967,0.003686)","9.000000e+06","1.000000e-01","1.200000e+01","1.478260e-02","2.015133e+00","-1.329834e-01"
"(1.000043,-0.002810)","(0.950623,-0.009307)","(0.812372,-0.041475)","(0.612711,-0.095764)","(0.390653,-0.126274)","(0.189874,-0.106833)","(0.050364,-0.055851)","(0.000000,0.000000)","(0.048765,0.049674)","(0.187034,0.080655)","(0.387476,0.083433)","(0.610311,0.062664)","(0.811265,0.031627)","(0.950338,0.009507)","(0.999957,0.002810)","9.000000e+06","1.000000e-01","1.200000e+01","1.234839e-02","1.260889e+00","4.645253e-03"
"(1.000002,-0.001924)","(0.950483,-0.000671)","(0.811751,-0.006202)","(0.611303,-0.041362)","(0.388825,-0.082217)","(0.188341,-0.081943)","(0.049570,-0.050041)","(-0.000000,0.000000)","(0.049442,0.072964)","(0.188121,0.130325)","(0.388606,0.129482)","(0.611178,0.079106)","(0.811712,0.031260)","(0.950473,0.008643)","(0.999998,0.001924)","9.000000e+06","1.000000e-01","1.200000e+01","1.328802e-02","1.760005e+00","-7.309224e-02"
"(1.000010,-0.000718)","(0.950373,0.008249)","(0.811585,0.011954)","(0.611594,-0.025121)","(0.389710,-0.073001)","(0.189249,-0.074723)","(0.050079,-0.042188)","(-0.000000,0.000000)","(0.048703,0.061329)","(0.186600,0.124585)","(0.386810,0.145165)","(0.609835,0.107240)","(0.811063,0.051267)","(0.950305,0.013322)","(0.999990,0.000718)","9.000000e+06","1.000000e-01","1.200000e+01","2.099832e-02","1.926934e+00","-1.597836e-01"
"(1.000002,-0.001180)","(0.950495,-0.008381)","(0.811800,-0.036193)","(0.611352,-0.059654)","(0.388828,-0.057152)","(0.188334,-0.050335)","(0.049578,-0.038985)","(0.000000,0.000000)","(0.049424,0.060253)","(0.188087,0.109268)","(0.388532,0.134641)","(0.611069,0.123629)","(0.811635,0.070734)","(0.950455,0.017831)","(0.999998,0.001180)","9.000000e+06","1.000000e-01","1.200000e+01","2.125376e-02","1.424228e+00","-5.592601e-02"
"(0.999995,-0.000919)","(0.950458,-0.004714)","(0.811637,-0.020501)","(0.611033,-0.043618)","(0.388444,-0.056746)","(0.187974,-0.054109)","(0.049308,-0.040221)","(0.000000,0.000000)","(0.049888,0.070982)","(0.188936,0.130478)","(0.389496,0.145029)","(0.611834,0.110120)","(0.812024,0.053757)","(0.950550,0.012951)","(1.000005,0.000919)","9.000000e+06","1.000000e-01","1.200000e+01","1.519188e-02","1.713039e+00","-8.183471e-02"
"(1.000010,-0.001857)","(0.950539,-0.010246)","(0.811980,-0.042691)","(0.611691,-0.077942)","(0.389210,-0.084956)","(0.188654,-0.072002)","(0.049772,-0.045987)","(0.000000,0.000000)","(0.049203,0.056922)","(0.187712,0.098412)","(0.388104,0.114919)","(0.610701,0.101061)","(0.811432,0.056470)","(0.950401,0.014739)","(0.999990,0.001857)","9.000000e+06","1.000000e-01","1.200000e+01","1.558904e-02","1.363187e+00","-2.606920e-02"
